iter	MultiClass
0	2.23753688
1	2.180447352
2	2.12960547
3	2.083262395
4	2.039315892
5	2.00098407
6	1.964959838
7	1.932575275
8	1.900745707
9	1.871415792
10	1.843903069
11	1.818370993
12	1.7943767
13	1.771931548
14	1.749656093
15	1.727968971
16	1.708207427
17	1.689182418
18	1.671681278
19	1.654847328
20	1.637094529
21	1.620676719
22	1.605728585
23	1.591021215
24	1.575635786
25	1.561320288
26	1.548508931
27	1.536315622
28	1.523374931
29	1.512146515
30	1.500998718
31	1.48987459
32	1.478462116
33	1.467347442
34	1.456883488
35	1.446511029
36	1.436970648
37	1.427598211
38	1.418837645
39	1.409837642
40	1.401891537
41	1.393411747
42	1.386178618
43	1.378837083
44	1.37164161
45	1.365083949
46	1.358285617
47	1.35166422
48	1.345660693
49	1.339554673
50	1.332728138
51	1.326970552
52	1.320321025
53	1.314204762
54	1.307941924
55	1.302222073
56	1.296679091
57	1.291156509
58	1.285952107
59	1.281040162
60	1.276908886
61	1.27211172
62	1.267694291
63	1.26263955
64	1.257408523
65	1.252948007
66	1.249061943
67	1.244898033
68	1.24028347
69	1.236266872
70	1.232050505
71	1.227960846
72	1.224687995
73	1.221314752
74	1.217920067
75	1.214952161
76	1.211466446
77	1.208234673
78	1.204568429
79	1.201015863
80	1.197559075
81	1.194238658
82	1.190134216
83	1.186756927
84	1.183925089
85	1.180454281
86	1.177158546
87	1.173914656
88	1.171224119
89	1.168464391
90	1.166212022
91	1.163552218
92	1.161138765
93	1.158617938
94	1.15604578
95	1.153012749
96	1.150383857
97	1.147288694
98	1.14462589
99	1.142068434
100	1.139815905
101	1.137066046
102	1.134222751
103	1.131814419
104	1.129157809
105	1.126897414
106	1.124695032
107	1.122394539
108	1.12042288
109	1.118007927
110	1.115870893
111	1.113412465
112	1.111931834
113	1.110034416
114	1.108043687
115	1.106189103
116	1.104310357
117	1.102843545
118	1.101225001
119	1.09935252
120	1.097984125
121	1.095823083
122	1.093964045
123	1.092447184
124	1.090825081
125	1.088935136
126	1.087002853
127	1.085585807
128	1.083514568
129	1.081973784
130	1.080667572
131	1.078793589
132	1.077599238
133	1.075959795
134	1.074653289
135	1.07311951
136	1.071490929
137	1.069730825
138	1.068623607
139	1.067511837
140	1.066019745
141	1.06441815
142	1.062915385
143	1.061632623
144	1.060151507
145	1.058643094
146	1.05696189
147	1.055658116
148	1.053974667
149	1.052366797
150	1.051101219
151	1.049664707
152	1.047918155
153	1.046702865
154	1.045392578
155	1.044121494
156	1.042658812
157	1.04120612
158	1.039942272
159	1.038608934
160	1.037113527
161	1.036011596
162	1.034923977
163	1.034309921
